"page","category","record","cas_number","name","emission_likelihood","pbt_vpvb_req","pmt_vpvm","quality","p","p_rat","m","m_rat","t","t_rat","max_conc_myg_l","comments"
74,1,21,"97-39-2","1,3-di-o-tolylguani- dine","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 107d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","exp min. log Dow/Kow = -3.0 (ionizable cmpd.)","T","Carc_1bRep_2","F; Z (DW:det.)",""
74,1,22,"102-06-7","1,3-diphenylguanidine","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 68d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. log Dow/Kow = 1.4 (ion- izable cmpd.)","T","Rep_2","F; Z (DW:det.)","DK-study"
75,1,23,"106-93-4","1,2-dibromoethane","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 20d, weight-of-evidence by discovery in monitoring studies, and consistent indications of P across tested QSARs","vM","exp min. log Doc/Koc = 0.3 (neu- tral cmpd.)","T","Carc_1a Carc_1b Carc_2_Su spected ED","O (GW:0.2-0.5)","HOT-H"
75,1,24,"108-20-3","Diisopropyl ether","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 25d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. log Doc/Koc = 0.6 (neu- tral cmpd.)","T","Rep_2","O (GW:>10)","fuel oxygenate"
75,1,25,"108-80-5","Cyanuric acid","very high","Y","vPvM","MQ","Pot.P/vP++","estimated t1/2 = 20d, detected in several watersamples in Schulze et al. (2019) and consistent indications of P across tested QSARs","vM","exp min. logDoc/Koc = 1.7 (neu- tral cmpd.)","NotT","-","F; Z (DW:det.)",""
75,1,26,"108-90-7","Chlorobenzene","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 23d, weight-of-evidence by discovery in monitoring studies, and consistent indications of P across tested QSARs","vM","exp min. log Doc/Koc = 2.4 (neu- tral cmpd.)","T","Carc_1amuta_1bRep_2STOTRE_1","O (GW: 5-10)",""
75,1,27,"119-61-9","Benzophenone","very high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 18d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","M","exp min. log Doc/Koc = 3.1 (neu- tral cmpd.)","T","Carc_2STO- TRE_2_ED","N (DW:0.26)",""
75,1,28,"121-47-1","3-aminobenzenesul- phonic acid","very high","Y","vPvM& PMT","MQ","Pot.P/vP++","estimated t1/2 = 44d, detected in several watersamples in Schulze et al. (2019) and consistent indications of P across tested QSARs","vM","QSAR min. logDow/Kow = -2.0 (ionizable cmpd.)","T","SuspectedED","Z (det.)",""
75,1,29,"121-82-4","Perhydro-1,3,5-tri- nitro-1,3,5-triazine","very high","Y","vPvM& PMT","MQ","Pot.P/vP++","estimated t1/2 = 33d, weight-of-evidence bydiscovery in monitoring studies, and consistent indications of P across tested QSARs","vM","exp min. logDow/Kow = 0.9 (ne- utral cmpd.)","T","STOTRE_1STOTRE_2","H (DW:1.1)","HOT-H"
75,1,30,"156-60-5","trans-dichloroeth- ylene","very high","Y","vPvM& PMT","MQ","Pot.P/vP++","estimated t1/2 = 28d, weight-of-evidence bydiscovery in monitoring studies, and consistent indications of P across tested QSARs","vM","QSAR min. logDow/Kow = 2.0 (ne- utral cmpd.)","T","STOTRE_2","O (GW:>10)",""
75,1,31,"280-57-9","1,4-diazabicyclooc- tane","very high","Y","vPvM& PMT","MQ","Pot.P/vP++","estimated t1/2 = 42d, detected in several watersamples in Schulze et al. (2019) and consistent indications of P across tested QSARs","vM","exp min. logDoc/Koc = 1.0 (ioniz- able cmpd.)","T","STOTRE_2","Z (det.)",""
76,1,32,"541-73-1","1,3-dichlorobenzene","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 48d, weight-of-evidence (this study) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","exp min. log Doc/Koc = 2.6 (neu- tral cmpd.)","T","STO- TRE_2_Sus pected ED","H (DW:0.1)",""
76,1,33,"1493-13-6","Trifluoromethanesul- phonic acid","very high","Y","vPvM","MQ","Pot. P/vP++","estimated t1/2 = 39d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","vM","exp min. log Dow/Kow = 0.3 (ne- utral cmpd.)","Pot. T","CramerClass III","F;W; Z(DW: 1)",""
76,1,34,"5165-97-9","Sodium 2-methyl-2-[(1-oxoal- lyl)amino]propanesul- phonate","very high","Y","vPvM","MQ","Pot. P/vP++","estimated t1/2 = 19d, detected in several water samples in Schulze et al. (2019) and consistent indications of P across tested QSARs","vM","QSAR min. log Dow/Kow = -2.4 (single_anion cmpd.)","Pot. T","CramerClass III","Z (det.)","DK-study"
76,1,35,"13674-87-8","Tris[2-chloro-1- (chloromethyl)ethyl] phosphate","very high","Y","PMT","MQ","Pot. P/vP++","estimated t1/2 = 231d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 302 C (Inherent Biodegradability: Modified MITI Test (II))","M","exp min. log Doc/Koc = 3.7 (neu- tral cmpd.)","T","Carc_2STOTRE_2","H:J (DW:0.51)","DK-study"
76,1,36,"52556-42-0","Sodium 3-(allyloxy)-2- hydroxypropanesul- phonate","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 15d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 C (Ready Biodegradability: Modi- fied MITI Test (I))","vM","QSAR min. log Dow/Kow = -2.9 (single_anion cmpd.)","T","Rep_2","Z (det.)",""
76,1,37,"6331-96-0","2-amino-4,5-dichloro- benzenesulfonic acid","very high","Y","vPvM& PMT","MQ","Pot.P/vP++","estimated t1/2 = 152d, detected in several wa-ter samples in Schulze et al. (2019) and con- sistent indications of P across tested QSARs","vM","QSAR min. logDow/Kow = -0.7 (ionizable cmpd.)","T","SuspectedED","Z (det.)",""
76,1,38,"29420-49-3","PFBS - Potassium1,1,2,2,3,3,4,4,4-no- nafluorobutane-1-sul- phonate","very high","Y","vPvM","MQ","Pot. P/vP++","estimated t1/2 = 327d, weight-of-evidence bydiscovery in monitoring studies, available QSARs and no biodeg. observed in at least one biodegradation screen test e.g. OECD Guideline301 E (Ready biodegradability: Modified OECD Screening Test)","vM","exp min. Dow/Kow =-1.7 (ionizable cmpd.)","Pot. T","CramerClass III","A;H;I;L;M(DW&GW:0.025)",""
77,1,39,"75-01-4","Chloroethylene","very high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 17d, weight-of-evidence by discovery in monitoring studies, and consistent indications of P across tested QSARs","vM","exp min. log Doc/Koc = 0.8 (neu- tral cmpd.)","T","Carc_1a muta_2","H;O(DW&GW:5-10)","volatile"
77,1,40,"81-07-2","1,2-benzisothiazol-3(2H)-one 1,1-dioxide","medium","Y","vPvM& PMT","MQ","Pot. P/vP++","the reported t1/2 in soil is 30d; however, it isdetected in several water samples in Schulze et al. (2019) and consistent indications of P across tested QSARs. Thus it is considered sufficiently P in the environment","vM","exp min. log Dow/Kow = -0.7 (ionizable cmpd.)","T","Carc_2 muta_2Rep_2","Z (det.)",""
77,1,41,"78-67-1","2,2'-dimethyl-2,2'- azodipropiononitrile","high","Y","vPvM","HQ","vP","measured half-life = 1 093 d (fresh water)","vM","exp min. logDoc/Koc = 2.0 (neu- tral cmpd.)","Pot. T","CramerClass III","","HOT-L"
77,1,42,"91-76-9","6-phenyl-1,3,5-tria- zine-2,4-diyldiamine","high","Y","vPvM","HQ","vP","No significant biodegradation in 301C and Etests. The PBT assessment evaluates the sub- stance to be persistent. Therefore, this sub- stance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = 1.4 (ioniz- able cmpd.)","Pot. T","CramerClass III","",""
77,1,43,"121-03-9","4-nitrotoluene-2-sul- phonic acid","high","Y","vPvM","HQ","vP","No significant biodegradation in 301E and Ctests. The PBT assessment evaluates the sub- stance to be persistent. Therefore, this sub- stance is assessed to be persistent in water. (Berger et al. 2018)","vM","QSAR min. log Dow/Kow = -0.9 (ionizable cmpd.)","Pot. T","CramerClass III","",""
77,1,44,"156-62-7","Calcium cyanamide","high","Y","vPvM","HQ","vP","measured half-life = 242 d (soil)","vM","exp min. logDow/Kow = -2.0 (ionizable cmpd.)","T","Carc_2Rep_2STOTRE_2","","cyanamide du- plicate"
77,1,45,"382-28-5","2,2,3,3,5,5,6,6-oc- tafluoro-4-(trifluoro- methyl)morpholine","high","Y","vPvM","HQ","vP","estimated t1/2 = 918d, weight-of-evidence (thisstudy) based on all known QSARs and no bio- deg. observed in majority of biodegradation screen tests, e.g. 310 (Ready Biodegradability - CO2 in Sealed Vessels (Headspace Test)","vM","exp min. logDoc/Koc = 0.2 (ioniz- able cmpd.)","Pot. T","CramerClass III","","DK-study"
77,1,46,"420-04-2","Cyanamide","high","Y","vPvM& PMT","HQ","vP","measured half-life = 242 d (soil)","vM","exp min. logDow/Kow = -2.0 (ionizable cmpd.)","T","Carc_2Rep_2STOTRE_2","","cyanamide"
77,1,47,"115-27-5","1,4,5,6,7,7-hexa-chloro-8,9,10-trinor- born-5-ene-2,3-dicar- boxylic anhydride","high","Y","vPvM& PMT","HQ","vP","estimated t1/2 = 1 113d, weight-of-evidence(this study) based on all known QSARs and no biodeg. observed in majority of biodegradation screen tests, e.g. 302 C (InherentBiodegradability: Modified MITI Test (II)),301 F(Ready Biodegradability: Manometric Respi- rometry Test)","vM","exp min. log Doc/Koc = 0.9 (neu- tral cmpd.)","T","Carc_1aCarc_2STOTRE_2","","DK-study"
78,1,48,"556-88-7","1-nitroguanidine","high","Y","vPvM","HQ","vP","measured half-life = 102 d (fresh water)","vM","QSAR min. logDow/Kow = -1.1 (ionizable cmpd.)","Pot. T","CramerClass III","",""
78,1,49,"593-85-1","Diguanidinium car- bonate","high","Y","vPvM","HQ","vP","measured half-life = 174 d (fresh water)","vM","QSAR min. logDow/Kow = -4.2 (multiple_anion cmpd.)","NotT","-","",""
78,1,50,"3033-62-341583-09-9","N,N,N',N'-tetrame- thyl-2,2'-oxybis(ethyl- amine)1,3,5-triazine-2,4,6- triamine phosphate","highhigh","YY","vPvMvPvM","HQHQ","vPvP","All biodegradation results in 301F and 302B im-ply no significant biodegradation. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)measured half-life = 913 d (soil)","vMvM","exp min. log Dow/Kow = 0.5 (ion- izable cmpd.)exp min. logDow/Kow = -2.3 (ionizable cmpd.)","Pot. TPot. T","CramerClass IIICramerClass III","",""
78,1,51,"68987-63-3","Copper, [29H,31H- phthalocyaninato(2-)- N29,N30,N31,N32]-, chlorinated","high","Y","vPvM","HQ","vP","estimated t1/2 = 1 537d, weight-of-evidence(this study) based on all known QSARs and no biodeg. observed in majority of biodegradation screen tests, e.g. 301 F (Ready Biodegradability: Manometric Respirometry Test)","vM","read-across min. log Dow/Kow = 1.2 (ion- izable cmpd.)","NotT","-","",""
78,1,52,"73037-34-0","Disodium ox- ybis[methylbenzene- sulphonate]","high","Y","vPvM","HQ","vP","No significant biodegradation in 301F and Ctests. The PBT assessment evaluates the sub- stance to be persistent. Therefore, this sub- stance is assessed to be persistent in water. (Berger et al. 2018)","vM","QSAR min. log Dow/Kow = -1.7 (multiple_anion cmpd.)","Pot. T","CramerClass III","",""
78,1,53,"90268-24-9","Butanamide, 2,2'-[(3,3'-dichloro[1,1'-bi- phenyl]-4,4'- diyl)bis(azo)]bis[3-oxo-, N,N'-bis(4-chloro-2,5-dimethoxy- phenyl and 2,4-xylyl) derivs.","high","Y","vPvM","HQ","vP","estimated t1/2 = 1 379d, weight-of-evidence (this study) based on all known QSARs and no biodeg. observed in majority of biodegradation screen tests, e.g. 301 C (Ready Biodegradability: Modified MITI Test (I))","vM","exp min. log Dow/Kow = 1.3 (ion- izable cmpd.)","Pot. T","CramerClass III","",""
79,1,54,"83016-70-0","2-[(2-[2-(dimethyla- mino)eth- oxy]ethyl)methyla- mino]ethanol","high","Y","vPvM","HQ","vP","No significant biodegradation in 301D tests. The PBT assessment evaluates the substance to be persistent. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","QSAR min. log Dow/Kow = -2.9 (ionizable cmpd.)","Pot. T","CramerClass III","",""
79,1,55,"1671-49-4","4-mesyl-2-nitrotolu- ene","high","Y","vPvM& PMT","HQ","vP","All biodegradation results in 301F and 302Btests imply no significant biodegradation. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. log Doc/Koc = 2.3 (neu- tral cmpd.)","T","Rep_2","",""
79,1,56,"3030-47-5","Bis(2-dimethylami- noethyl)(me- thyl)amine","high","Y","vPvM","HQ","vP","All biodegradation results in 301C and E and302B imply no significant biodegradation. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. log Dow/Kow = 0.1 (ion- izable cmpd.)","Pot. T","CramerClass III","",""
79,1,57,"107-46-0","Hexamethyldisiloxane","high","Y","vPvM& PMT","HQ","vP","measured half-life = 231 d (soil)","vM","exp min. logDoc/Koc = 2.7 (neu- tral cmpd.)","T","ecotoxCarc_2","",""
79,1,58,"22042-96-2","[[(phosphonome-thyl)imino]bis[(eth- ylenenitrilo)bis(meth- ylene)]]tetrakisphos- phonic acid, sodium salt","high","Y","vPvM","HQ","vP","estimated t1/2 = 1 303d, weight-of-evidence (this study) based on all known QSARs and no biodeg. observed in majority of biodegradation screen tests, e.g. 301 E (Ready biodegradability: Modified OECD Screening Test)","vM","QSAR min. log Dow/Kow = -14.3 (single_anion cmpd.)","Pot. T","CramerClass III","","Chelatingagent, DK-study"
79,1,59,"34690-00-1","[[(phosphonome-thyl)imino]bis[hexa- methylenenitrilo- bis(meth- ylene)]]tetrakisphos- phonic acid","high","Y","vPvM& PMT","HQ","vP","estimated t1/2 = 1 619d, weight-of-evidence (this study) based on all known QSARs and no biodeg. observed in majority of biodegradation screen tests, e.g. 301 E (Ready biodegradability: Modified OECD Screening Test)","vM","QSAR min. log Dow/Kow = -11.0 (ionizable cmpd.)","T","STOTRE_2","","Chelating agent, DK-study"
79,1,60,"61792-09-4","Pentasodium pen-tahydrogen [[(phos- phonatome- thyl)imino]bis[ethane-2,1-diylnitrilo- bis(meth- ylene)]]tetrakisphos- phonate","high","Y","vPvM","HQ","vP","estimated t1/2 = 1 303d, weight-of-evidence (this study) based on all known QSARs and no biodeg. observed in majority of biodegradation screen tests, e.g. 301 E (Ready biodegradability: Modified OECD Screening Test)","vM","QSAR min. log Dow/Kow = -14.3 (multiple_anion cmpd.)","Pot. T","CramerClass III","","Chelating agent, DK-study"
80,1,61,"129909-90-6","4-amino-N-(1,1-di- methylethyl)-4,5-di- hydro-3-(1-meth- ylethyl)-5-oxo-1H-1,2,4-triazole-1-car- boxamide","high","Y","vPvM","HQ","vP","Due to lack of other information the substance was assessed by PBT assessment in water. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = 1.4 (ioniz- able cmpd.)","NotT","-","","HOT-L"
80,1,62,"2312-35-8","Propargite","high","Y","PMT","HQ","vP","measured half-life = 169 d (soil)","M","exp min. logDoc/Koc = 3.6 (neu- tral cmpd.)","T","ecotoxCarc_2","","DK-study"
80,1,63,"12108-13-3","Tricarbonyl(methylcy- clopentadienyl)man- ganese","high","Y","PMT","HQ","vP","No significant biodegradation in 301D tests. ThePBT assessment evaluates the substance to be persistent. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","M","exp min. log Doc/Koc = 3.4 (single_anion cmpd.)","T","Carc_2STOTRE_1","",""
80,1,64,"87-62-7","2,6-xylidine","high","Y","PMT","HQ","P","No significant biodegradation in 301F tests.302B tests not reliable. Registrant evaluates this substance to be persistent. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = 1.3 (ioniz- able cmpd.)","T","Carc_2","",""
80,1,65,"123-30-8","4-aminophenol","high","Y","PMT","HQ","P","No significant biodegradation in 301C tests. ThePBT assessment evaluates the substance to be persistent. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = 0.6 (ioniz- able cmpd.)","T","muta_2STOTRE_2","",""
80,1,66,"622-40-2","2-morpholinoethanol","high","Y","PMT","HQ","P","No significant biodegradation in 302B testi-mated Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = -1.9 (ion- izable cmpd.)","T","Carc_1b","",""
80,1,67,"2226-96-2","4-hydroxy-2,2,6,6-tet- ramethylpiperidinoxyl","high","Y","PMT","HQ","P","No significant biodegradation in 301A tests. ThePBT assessment evaluates the substance to be persistent. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","QSAR min. log Dow/Kow = 0.1 (ion- izable cmpd.)","T","STOTRE_2","",""
80,1,68,"4065-45-6","Sulisobenzone","high","Y","PMT","HQ","P","All biodegradation results in 301F and 302Btests imply no significant biodegradation. Therefore, this substance is assessed to be per- sistent in water. (Berger et al. 2018)","vM","exp min. logDoc/Koc = 2.0 (ioniz- able cmpd.)","T","Rep_2_Sus pected ED","",""
80,1,69,"5281-09-04","Calcium 3-hydroxy-4-[(4-methyl-2-sulpho- natophenyl)azo]-2- naphthoate","high","Y","PMT","HQ","P","Biodegradation results in 301 C test <20% andpersistence due to PBT assessment. Therefore, this substance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. logDow/Kow = 0.7 (multiple_anion cmpd.)","T","STOTRE_2","","red pigment"
81,1,70,"13472-08-7","2,2'-azobis[2-methyl- butyronitrile]","high","Y","PMT","HQ","P","No significant biodegradation in 301D testi- mated The PBT assessment evaluates the sub- stance to be persistent. Therefore, this sub- stance is assessed to be persistent in water. (Berger et al. 2018)","vM","exp min. log Dow/Kow = 2.1 (ne- utral cmpd.)","T","STOTRE_2","","HOT-L"
81,1,71,"37971-36-1","2-phosphonobutane-1,2,4-tricarboxylic acid","high","Y","PMT","HQ","P","measured half-life = 139 d (soil)","vM","QSAR min. logDow/Kow = -7.7 (ionizable cmpd.)","T","STOTRE_2","",""
81,1,72,"98362-33-567-68-5","2,3-Epoxypropyl ne-odecanoate, oligo- meric reaction prod- ucts with toluene-4- sulfonic acidDimethyl sulfoxide","highhigh","YY","PMTvPvM& PMT","HQMQ","vPPot. P/vP++","estimated t1/2 = 1 218d, weight-of-evidence(this study) based on all known QSARs and no biodeg. observed in majority of biodegradation screen tests, e.g. 301 B (Ready Biodegradability: CO2 Evolution Test)estimated t1/2 = 15d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 301 D (Ready Biodegradability: Closed Bottle Test)","MvM","exp min. log Dow/Kow = 3.5 (ne- utral cmpd.)exp min. log Doc/Koc = 0.6 (neu- tral cmpd.)","TT","muta_2Carc_2 muta_2STOTRE_2","","DK-study"
81,1,73,"75-77-4","Chlorotrimethylsilane","high","Y","vPvM& PMT","MQ","Pot. P/vP++","estimated t1/2 = 18d, weight-of-evidence (thisstudy) based on all used QSARs and no biodeg. observed in majority of biodegradation screen tests for substance/main transformation prod- ucts, e.g. 310 (Ready Biodegradability - CO2 in Sealed Vessels (Headspace Test)","vM","read-across min. log Dow/Kow = 1.2 (neutral cmpd.)","T","Carc_2","",""
